id,first_name,last_name,position,age,prime_age,year,state,country,college_id,college,stars,height,overall,finishing,shooting2,shooting3,free_throw,ballwork,rebounding,interior_defense,perimeter_defense,overall_grade,finishing_grade,shooting2_grade,shooting3_grade,free_throw_grade,ballwork_grade,rebounding_grade,interior_defense_grade,perimeter_defense_grade,pro_potential_grade,potential_grade,draft_pick_id,draft_pick,drafted_team_id,drafted_team_abbr,spec_shooting2,spec_shooting3,spec_finishing,spec_free_throw,spec_ballwork,spec_rebounding,spec_interior_defense,spec_perimeter_defense,spec_count,archetype,prediction,recruiting_bias_value,stamina,playtime_expectations,minutes,previous_team_id,previous_team,personality,free_agency,recruiting_bias,work_ethic,academic_bias,player_id,defense,created_at,updated_at,deleted_at,inside_proportion,mid_range_proportion,three_point_proportion,position_one,position_two,position_three,p1_minutes,p2_minutes,p3_minutes,standing_reach,vertical_leap,lane_agility,max_vertical_leap,three_quarter_sprint,shuttle_run,wing_span,potential,discipline,injury_rating,is_injured,injury_name,injury_type,weeks_of_recovery,injury_reserve,relative_id,relative_type,notes,is_international
66,Max,Garner,SF,24,27,0,Nevada,USA,25,CSU,4,6-7,85,21,16,20,22,19,10,16,16,B+,B+,C+,B+,A-,B-,C+,B+,C+,54,B-,0,,0,,0,1,1,1,1,1,1,0,0,All-Around,0,,36,0,0,0,,Average,"Drafted team discount",Average,Average,"Values academics",66,0,"2025-12-11 22:42:17.425","2025-12-11 22:42:17.425",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,76,0,0,0,,,0,0,0,0,,0
80,Anthony,White,PG,24,28,0,"New Jersey",USA,56,MEMP,2,6-4,58,9,21,9,20,16,8,9,10,D-,D,A,C-,B,B-,C-,C-,C-,92,A+,0,,0,,1,1,1,1,0,1,0,0,0,"Floor General",0,,44,0,0,0,,Average,Average,Average,Average,Average,80,0,"2025-12-11 23:04:27.845","2025-12-11 23:04:27.845",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,76,0,0,0,,,0,0,0,0,,0
81,Nolan,Criswell,C,24,29,0,,Canada,56,MEMP,3,6-9,69,17,7,11,7,9,16,17,21,D+,C+,D,C,D,C-,B-,B-,B+,54,C+,0,,0,,0,0,0,0,0,0,0,0,0,"Stretch Bigs",0,,37,0,0,0,,Average,Average,Legacy,Average,Average,81,0,"2025-12-11 23:04:25.040","2025-12-11 23:04:25.040",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,85,0,0,0,,,0,0,0,0,,0
93,Martin,Richardson,PG,24,30,0,"North Carolina",USA,134,SMC,2,6-3,60,12,18,9,13,19,6,7,14,D-,C-,B,C-,B-,B,C-,F,B-,8,D-,0,,0,,0,0,0,0,0,0,0,0,0,"Floor General",0,,41,0,0,0,,Paranoid,Average,Average,Average,Average,93,0,"2025-12-11 23:18:52.551","2025-12-11 23:18:52.551",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,84,0,0,0,,,0,0,0,0,,0
94,Kenneth,Lee,PF,24,25,0,,Portugal,134,SMC,2,6-5,66,23,12,4,11,8,17,6,12,D+,B+,C+,F,C+,C-,C+,D,C,96,A+,0,,0,,0,0,1,0,0,0,0,1,0,Slasher,0,,39,0,0,0,,Impatient,Average,Average,Average,"Frequent visits to the principal",94,0,"2025-12-11 23:18:44.735","2025-12-11 23:18:44.735",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,72,0,0,0,,,0,0,0,0,,0
117,Armando,Pope,PG,24,26,0,Michigan,USA,129,WISC,3,6-1,70,12,16,21,26,12,17,4,13,C,C,C+,B,A+,C+,B,F,B-,42,C+,0,,0,,0,1,1,1,0,1,0,1,0,"Defensive Dawg",0,,48,0,0,0,,Motivation,"Championship seeking",Average,Average,Average,117,0,"2025-12-11 23:17:51.477","2025-12-11 23:17:51.477",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,65,0,0,0,,,0,0,0,0,,0
119,Kevin,Wells,PF,24,28,0,Florida,USA,101,TEX,1,6-6,68,10,13,4,11,8,28,11,15,C-,C-,B-,F,D,C-,A+,C-,C+,46,C,0,,0,,1,0,0,0,0,1,0,0,0,"Pure Defender",0,,35,0,0,0,,Average,Average,"Prefers to play in a different state",Average,Average,119,0,"2025-12-11 23:12:26.178","2025-12-11 23:12:26.178",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,83,0,0,0,,,0,0,0,0,,0
120,Gerald,James,PG,24,24,0,Delaware,USA,368,SAMO,2,5-11,64,6,9,14,14,22,13,12,10,D-,F,C-,C+,C+,A-,C-,C,C-,44,B-,0,,0,,0,0,0,1,0,1,0,0,0,"Floor General",0,,45,0,0,0,,Flamboyant,Average,Average,"Footwork king",Distracted,120,0,"2025-12-11 23:59:50.196","2025-12-11 23:59:50.196",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,80,0,0,0,,,0,0,0,0,,0
159,Brad,Morris,SG,24,28,0,Ohio,USA,366,CHAM,1,6-0,63,10,25,11,20,14,10,6,17,C,C,A+,C-,A-,B,C,C-,B,49,C,0,,0,,1,0,0,1,0,1,0,1,0,"Defensive Dawg",0,,46,0,0,0,,Abrasive,Average,Average,Average,Distracted,159,0,"2025-12-11 23:59:31.836","2025-12-11 23:59:31.836",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,100,0,0,0,,,0,0,0,0,,0
170,Sheldon,Romero,SF,25,29,0,Georgia,USA,136,GEOT,2,6-8,63,18,9,12,6,17,10,11,8,D,B-,C,B-,F,C+,C,C+,C,44,C+,0,,0,,0,1,1,0,0,1,1,0,0,"Two-Way Wing",0,,43,0,0,0,,Focused,Average,Average,Average,Average,170,0,"2025-12-11 23:19:15.269","2025-12-11 23:19:15.269",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,67,0,0,0,,,0,0,0,0,,0
196,Joe,Allen,SF,24,25,0,Indiana,USA,39,UHOU,2,6-6,66,12,19,19,24,7,20,5,10,C-,C+,B+,A-,A-,C-,B,F,C-,55,B+,0,,0,,1,0,0,1,0,1,0,0,0,,0,,48,0,0,0,,Tough,"Hates Cleveland",Average,"Focuses on Max Reps",Average,196,0,"2025-12-11 22:44:49.147","2025-12-11 22:44:49.147",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,77,0,0,0,,,0,0,0,0,,0
197,Simon,Woods,C,24,30,0,California,USA,142,JU,2,7-0,73,17,4,5,1,6,27,20,21,C-,C+,D,D,F,F,A+,B+,B+,44,C+,0,,0,,0,0,0,0,1,1,0,0,0,"Rim Protector",0,,48,0,0,0,,Disruptive,Average,Legacy,"Focuses on Max Weight","Sits at the front of the class",197,0,"2025-12-11 23:20:37.811","2025-12-11 23:20:37.811",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,80,0,0,0,,,0,0,0,0,,0
198,Earnest,Gordon,PF,24,27,0,Texas,USA,99,TEMP,2,6-8,61,10,10,9,7,18,9,17,15,F,D,C,C-,F,B-,D,B+,C+,29,C,0,,0,,0,0,0,0,1,0,1,0,0,"Pure Defender",0,,41,0,0,0,,Average,Average,Average,Average,"Values academics",198,0,"2025-12-11 23:11:58.459","2025-12-11 23:11:58.459",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,76,0,0,0,,,0,0,0,0,,0
209,Billy,Morgan,C,24,30,0,Missouri,USA,137,SBON,3,6-10,81,19,10,15,6,17,13,17,28,C+,B-,C-,B,F,C+,C,B+,A+,45,C+,0,,0,,0,0,1,0,0,0,0,1,0,"Stretch Bigs",0,,36,0,0,0,,Outgoing,Adversarial,Average,"Focuses on Max Weight",Average,209,0,"2025-12-11 23:19:20.016","2025-12-11 23:19:20.016",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,86,0,0,0,,,0,0,0,0,,0
210,Angel,Weaver,PF,24,25,0,Arizona,USA,223,ACU,3,6-7,61,14,10,1,11,15,14,9,14,D,B-,D,F,D,B,B-,D,C,19,D-,0,,0,,1,0,0,1,0,1,0,1,0,"Pure Defender",0,,34,0,0,0,,Disloyal,"Championship seeking",Average,Average,Average,210,0,"2025-12-11 23:35:28.773","2025-12-11 23:35:28.773",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,72,0,0,0,,,0,0,0,0,,0
234,Raymon,Frasier,PG,24,24,0,"New Jersey",USA,138,UCI,3,6-4,72,8,17,14,15,24,10,14,17,B,C-,B,C,B,A+,C+,B-,B-,55,C+,0,,0,,1,1,0,0,1,0,1,1,0,"Floor General",0,,38,0,0,0,,Abrasive,Average,Average,"Gym Rat","More likely to get academic probation",234,0,"2025-12-11 23:19:38.272","2025-12-11 23:19:38.272",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,75,0,0,0,,,0,0,0,0,,0
236,David,Brooks,SF,24,27,0,Georgia,USA,138,UCI,2,6-6,56,12,16,16,14,10,11,6,10,F,C-,B,B+,C+,D,C-,D,C,41,C,0,,0,,0,0,0,0,0,0,0,0,0,,0,,35,0,0,0,,Average,"Money motivated",Average,"Footwork king",Average,236,0,"2025-12-11 23:19:42.414","2025-12-11 23:19:42.414",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,80,0,0,0,,,0,0,0,0,,0
247,Leland,Larson,PG,24,26,0,California,USA,366,CHAM,1,6-0,65,21,6,15,12,20,5,8,9,D,B,C-,B-,C,A,F,D,C,38,C-,0,,0,,0,0,0,1,1,1,0,0,0,"Floor General",0,,43,0,0,0,,Average,Average,"Prefers to play in a different state",Average,Average,247,0,"2025-12-11 23:59:29.945","2025-12-11 23:59:29.945",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,86,0,0,0,,,0,0,0,0,,0
248,Charles,Brown,C,24,30,0,California,USA,47,UKEN,2,6-9,70,13,8,21,17,15,11,16,16,C,C+,C-,A,B-,C,C+,B-,B+,60,B+,0,,0,,0,1,0,1,1,0,1,0,0,"Stretch Bigs",0,,41,0,0,0,,Extroverted,Average,Average,Average,Average,248,0,"2025-12-11 22:46:20.434","2025-12-11 22:46:20.434",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,85,0,0,0,,,0,0,0,0,,0
261,Philip,Ward,C,24,27,0,Illinois,USA,91,SMU,2,6-10,71,20,7,2,11,8,19,21,15,C,B+,F,F,C,C,B,A,C,45,C,0,,0,,0,0,0,0,1,1,1,0,0,"Rim Protector",0,,46,0,0,0,,Abrasive,Average,Average,Average,Average,261,0,"2025-12-11 23:10:30.189","2025-12-11 23:10:30.189",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,77,0,0,0,,,0,0,0,0,,0
262,Owen,Hawkins,PG,24,29,0,Colorado,USA,91,SMU,3,5-11,69,17,16,8,12,17,13,12,8,D+,B,B,F,C,B,C-,C+,D,52,B-,0,,0,,0,0,0,0,0,0,0,0,0,"Floor General",0,,38,0,0,0,,Average,"Will eventually play for LeBron","Prefers to play for a team where he can start immediately",Average,"Borderline failing",262,0,"2025-12-11 23:10:27.995","2025-12-11 23:10:27.995",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,84,0,0,0,,,0,0,0,0,,0
263,Dustin,Cook,PG,24,25,0,Georgia,USA,91,SMU,3,5-11,78,12,22,20,19,22,8,11,21,C,C+,B+,B+,B,A-,F,C-,B+,76,A,0,,0,,1,0,0,0,1,1,1,1,0,"Mid-Range Magician",0,,39,0,0,0,,Average,Average,Average,Average,Average,263,0,"2025-12-11 23:10:25.561","2025-12-11 23:10:25.561",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,80,0,0,0,,,0,0,0,0,,0
287,John,Williams,PF,24,24,0,Indiana,USA,3,BAMA,3,6-5,60,17,8,14,10,11,12,11,9,D,B,C-,B-,C-,C-,C+,C+,D,88,A+,0,,0,,1,1,1,0,0,0,0,0,0,"Offensive Weapon",0,,43,0,0,0,,Average,Average,Average,Average,Average,287,0,"2025-12-11 22:38:46.698","2025-12-11 22:38:46.698",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,72,0,0,0,,,0,0,0,0,,0
288,Arthur,Carter,SF,24,24,0,Massachusetts,USA,24,COLO,3,6-5,77,25,20,20,18,15,9,6,12,C+,A+,A-,B,B,C,C-,F,C-,55,B,0,,0,,0,1,1,0,1,0,0,1,0,"Two-Way Wing",0,,43,0,0,0,,Average,Average,Average,Complacent,"Didn't come here to play school",288,0,"2025-12-11 22:42:01.709","2025-12-11 22:42:01.709",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,79,0,0,0,,,0,0,0,0,,0
289,Mark,Morris,PF,24,30,0,California,USA,24,COLO,3,6-6,76,26,16,9,14,13,12,7,17,B,A+,B,C-,C,C+,C,C-,B,42,C,0,,0,,0,0,1,0,0,0,0,0,0,"Pure Defender",0,,44,0,0,0,,Average,Average,Average,Average,Average,289,0,"2025-12-11 22:41:59.906","2025-12-11 22:41:59.906",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,90,0,0,0,,,0,0,0,0,,0
309,Edwin,Allison,PG,23,27,0,"South Carolina",USA,143,UNOM,2,6-3,59,16,11,20,13,10,13,5,8,D,B+,C+,A,C+,C-,C,F,D,49,C+,0,,0,,0,0,1,1,0,1,0,0,0,"Sharp Shooter",0,,45,0,0,0,,Average,"I'm the starter",Average,Average,"Studies hard",309,0,"2025-12-11 23:20:47.151","2025-12-11 23:20:47.151",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,65,0,0,0,,,0,0,0,0,,0
310,Kent,Stone,PF,23,29,0,Pennsylvania,USA,106,TROY,2,6-7,50,6,5,6,9,11,10,19,15,F,D,D,F,C-,C-,C+,B,B-,51,C+,0,,0,,0,0,0,1,0,1,0,1,0,"Pure Defender",0,,38,0,0,0,,Motivational,Average,Average,"Track Athlete",Average,310,0,"2025-12-11 23:13:25.838","2025-12-11 23:13:25.838",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,65,0,0,0,,,0,0,0,0,,0
311,Javier,Carpenter,SF,23,25,0,Michigan,USA,143,UNOM,1,6-8,56,11,16,14,8,12,12,11,8,F,C+,B-,B-,D,C,C,C-,D,49,C+,0,,0,,1,0,0,0,0,1,0,0,0,,0,,43,0,0,0,,Average,Average,Average,Lazy,Average,311,0,"2025-12-11 23:20:49.039","2025-12-11 23:20:49.039",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,85,0,0,0,,,0,0,0,0,,0
328,Jose,Green,C,24,30,0,Illinois,USA,82,OREG,1,6-10,54,8,4,9,3,7,11,27,19,F,F,D,D,F,D,C,A+,A-,93,A+,0,,0,,0,0,0,0,0,0,1,0,0,"Stretch Bigs",0,,48,0,0,0,,Average,Average,"Prefers to be close to home",Average,"Never Studies",328,0,"2025-12-11 23:08:48.860","2025-12-11 23:08:48.860",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,79,0,0,0,,,0,0,0,0,,0
338,Jesse,Wilson,SG,24,27,0,Utah,USA,56,MEMP,1,6-1,53,12,9,22,11,11,8,10,7,F,C+,D,A-,C+,C+,D,D,F,42,C+,0,,0,,0,1,0,1,0,1,0,0,0,"Dunk Specialist",0,,40,0,0,0,,Average,Average,Average,"Gym Rat",Tutor,338,0,"2025-12-11 23:04:33.965","2025-12-11 23:04:33.965",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,78,0,0,0,,,0,0,0,0,,0
340,Patrick,Mcdaniel,PF,24,27,0,Indiana,USA,1,USAF,2,6-7,75,10,15,14,14,14,24,12,15,B,C,C+,B-,B-,C+,A+,C,C+,22,D,0,,0,,0,0,1,0,0,1,1,0,0,Slasher,0,,38,0,0,0,,Relaxed,"Will eventually play for LeBron",Average,Average,Average,340,0,"2025-12-11 22:34:10.967","2025-12-11 22:34:10.967",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,90,0,0,0,,,0,0,0,0,,0
341,Mauro,Canales,SF,24,29,0,,Finland,1,USAF,2,6-8,64,10,11,11,18,16,6,17,22,D+,D,C+,C-,A-,B+,D,B-,A-,49,C+,0,,0,,1,0,0,1,0,0,1,1,0,"Pure Defender",0,,48,0,0,0,,Uncooperative,Average,Average,Average,"More likely to get academic probation",341,0,"2025-12-11 22:34:15.348","2025-12-11 22:34:15.348",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,85,0,0,0,,,0,0,0,0,,0
352,Russ,Sell,PG,24,29,0,Indiana,USA,324,WOF,1,5-11,54,7,24,18,23,14,4,5,11,F,D,A-,B+,A-,B-,F,D,D,45,C,0,,0,,0,0,0,0,0,0,0,0,0,"Sharp Shooter",0,,44,0,0,0,,Average,Average,Average,Average,Average,352,0,"2025-12-11 23:52:18.400","2025-12-11 23:52:18.400",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,77,0,0,0,,,0,0,0,0,,0
353,Freddy,Kimble,PF,24,28,0,,France,144,PORT,2,6-7,67,11,11,7,12,11,21,12,16,D,D,D,C-,C+,C-,A-,C-,C+,48,C+,0,,0,,0,0,0,0,0,0,0,0,0,"Pure Defender",0,,36,0,0,0,,Average,"Championship seeking","Prefers to play for a national championship contender",Persistant,Average,353,0,"2025-12-11 23:20:57.774","2025-12-11 23:20:57.774",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,81,0,0,0,,,0,0,0,0,,0
365,Arden,Lyman,C,24,29,0,Florida,USA,145,SEAU,2,7-2,63,11,16,10,18,4,18,16,17,D-,C+,B-,C-,A-,F,B-,C+,B-,43,B-,0,,0,,0,0,0,0,0,0,0,0,0,"Rim Protector",0,,45,0,0,0,,Average,Average,"Prefers to play for a team with a rich history",Hard-working,Average,365,0,"2025-12-11 23:21:09.927","2025-12-11 23:21:09.927",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,82,0,0,0,,,0,0,0,0,,0
366,Jed,Honeycutt,PG,24,26,0,Utah,USA,145,SEAU,1,6-3,53,10,20,20,24,10,5,6,8,F,C-,B+,B,A+,C,D,F,F,54,B-,0,,0,,0,0,0,0,0,0,0,0,0,"Sharp Shooter",0,,40,0,0,0,,Cooperative,"Highest bidder",Average,Average,"Skips classes often",366,0,"2025-12-11 23:21:14.321","2025-12-11 23:21:14.321",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,90,0,0,0,,,0,0,0,0,,0
392,Andrea,Artis,C,24,24,0,Mississippi,USA,140,DPU,1,7-3,57,14,9,9,11,10,10,15,13,D-,C+,D,D,C+,C,C-,B-,B-,49,B,0,,0,,0,0,0,0,0,0,0,0,0,"Rim Protector",0,,48,0,0,0,,Tough,Average,Average,Average,Average,392,0,"2025-12-11 23:20:16.386","2025-12-11 23:20:16.386",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,83,0,0,0,,,0,0,0,0,,0
393,Derick,Mccreary,PG,24,29,0,Georgia,USA,40,ILLI,3,6-3,58,13,7,13,7,20,10,6,6,D,C+,D,C,F,A,C+,D,F,82,A+,0,,0,,0,0,0,0,0,0,0,0,0,"Floor General",0,,37,0,0,0,,Dramatic,"Drafted team discount","Prefers to play for a national championship contender","Film Room Genius","Skips classes often",393,0,"2025-12-11 22:45:01.425","2025-12-11 22:45:01.425",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,83,0,0,0,,,0,0,0,0,,0
403,Rocky,Werner,PF,24,29,0,Virginia,USA,141,FGCU,2,6-8,62,9,8,4,7,10,17,17,24,D-,D,D,F,F,C,C+,B,A+,55,C+,0,,0,,0,0,0,0,0,0,0,1,0,"Pure Defender",0,,37,0,0,0,,Average,"Wants extensions",Average,Average,Average,403,0,"2025-12-11 23:20:26.839","2025-12-11 23:20:26.839",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,82,0,0,0,,,0,0,0,0,,0
404,Willy,Overby,SF,24,29,0,Maryland,USA,141,FGCU,2,6-5,71,18,14,6,15,11,10,17,26,B-,B,C,C-,C+,C+,C+,B-,A,51,B,0,,0,,1,0,1,1,0,0,1,1,0,Slasher,0,,46,0,0,0,,Average,"Money motivated",Average,Average,"Naturally book smart",404,0,"2025-12-11 23:20:22.868","2025-12-11 23:20:22.868",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,88,0,0,0,,,0,0,0,0,,0
406,Frances,Daly,C,24,26,0,Georgia,USA,141,FGCU,2,7-1,72,15,6,2,5,10,22,25,18,B-,B,D,F,D,D,A-,A+,A-,54,B,0,,0,,0,0,0,0,1,1,1,0,0,"Rim Protector",0,,47,0,0,0,,Average,Average,"Prefers to play for a team where he can start immediately",Average,"Didn't come here to play school",406,0,"2025-12-11 23:20:20.913","2025-12-11 23:20:20.913",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,65,0,0,0,,,0,0,0,0,,0
419,Trinidad,Hynes,SF,24,27,0,Florida,USA,208,ILST,2,6-6,49,14,13,16,9,11,7,6,5,F,B-,C+,B+,C-,C-,C-,C-,F,45,C+,0,,0,,0,1,1,0,1,0,0,0,0,,0,,36,0,0,0,,Average,Average,Average,Average,Average,419,0,"2025-12-11 23:33:05.830","2025-12-11 23:33:05.830",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,70,0,0,0,,,0,0,0,0,,0
430,Rod,Robins,PG,24,25,0,Indiana,USA,86,PURD,2,6-2,68,11,17,20,20,19,13,8,5,D+,C-,C+,A-,B+,B,C+,C-,F,46,C+,0,,0,,0,1,0,1,0,1,1,0,0,"Floor General",0,,42,0,0,0,,Average,Average,"Prefers to play for a team with a rich history",Average,"Borderline failing",430,0,"2025-12-11 23:09:30.074","2025-12-11 23:09:30.074",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,72,0,0,0,,,0,0,0,0,,0
431,Eddie,Wilkerson,PF,24,26,0,Illinois,USA,106,TROY,1,6-8,61,5,12,12,10,11,22,11,14,D,F,C+,C-,C+,C,A-,D,B,45,C,0,,0,,1,1,0,1,1,1,0,1,0,All-Around,0,,45,0,0,0,,Average,Average,Average,Loud,Average,431,0,"2025-12-11 23:13:20.568","2025-12-11 23:13:20.568",NULL,0,0,0,,,,0,0,0,,0,0,0,0,0,,71,0,0,0,,,0,0,0,0,,0
